Frame,GGPP_Lig1_HB_Count,GGPP_Lig2_HB_Count
1671,351,351
1672,348,348
1673,348,348
1674,345,345
1675,346,346
1676,337,337
1677,341,341
1678,336,336
1679,358,358
1680,355,355
1681,359,359
1682,342,342
1683,339,339
1684,342,342
1685,344,344
1686,338,338
1687,348,348
1688,345,345
1689,343,343
1690,337,337
1691,342,342
1692,335,335
1693,353,353
1694,344,344
1695,347,347
1696,352,352
1697,354,354
1698,350,350
1699,360,360
1700,347,347
1701,344,344
1702,351,351
1703,343,343
1704,340,340
1705,351,351
1706,339,339
1707,338,338
1708,339,339
1709,350,350
1710,344,344
1711,350,350
1712,348,348
1713,355,355
1714,353,353
1715,342,342
1716,359,359
1717,338,338
1718,348,348
1719,352,352
1720,347,347
1721,347,347
1722,358,358
1723,356,356
1724,355,355
1725,368,368
1726,355,355
1727,341,341
1728,356,356
1729,364,364
1730,340,340
1731,354,354
1732,354,354
1733,347,347
1734,345,345
1735,362,362
1736,350,350
1737,357,357
1738,347,347
1739,356,356
1740,343,343
1741,353,353
1742,360,360
1743,346,346
1744,346,346
1745,345,345
1746,352,352
1747,337,337
1748,346,346
1749,343,343
1750,355,355
1751,344,344
1752,355,355
1753,338,338
1754,338,338
1755,348,348
1756,346,346
1757,332,332
1758,340,340
1759,344,344
1760,354,354
1761,350,350
1762,343,343
1763,336,336
1764,346,346
1765,349,349
1766,334,334
1767,342,342
1768,337,337
1769,347,347
1770,338,338
1771,345,345
1772,346,346
1773,351,351
1774,355,355
1775,350,350
1776,348,348
1777,351,351
1778,345,345
1779,353,353
1780,348,348
1781,346,346
1782,342,342
1783,346,346
1784,344,344
1785,335,335
1786,356,356
1787,353,353
1788,347,347
1789,344,344
1790,341,341
1791,352,352
1792,351,351
1793,341,341
1794,341,341
1795,345,345
1796,352,352
1797,331,331
1798,349,349
1799,351,351
1800,349,349
1801,351,351
1802,344,344
1803,361,361
1804,342,342
1805,347,347
1806,337,337
1807,340,340
1808,343,343
1809,350,350
1810,343,343
1811,352,352
1812,337,337
1813,349,349
1814,349,349
1815,353,353
1816,357,357
1817,357,357
1818,343,343
1819,339,339
1820,350,350
1821,340,340
1822,352,352
1823,362,362
1824,358,358
1825,342,342
1826,351,351
1827,355,355
1828,346,346
1829,339,339
1830,354,354
1831,359,359
1832,362,362
1833,343,343
1834,344,344
1835,360,360
1836,349,349
1837,347,347
1838,361,361
1839,348,348
1840,353,353
1841,342,342
1842,345,345
1843,342,342
1844,354,354
1845,333,333
1846,353,353
1847,349,349
1848,352,352
1849,364,364
1850,366,366
1851,351,351
1852,358,358
1853,356,356
1854,345,345
1855,350,350
1856,344,344
1857,342,342
1858,349,349
1859,340,340
1860,354,354
1861,336,336
1862,335,335
1863,342,342
1864,341,341
1865,349,349
1866,353,353
1867,357,357
1868,345,345
1869,351,351
1870,357,357
1871,351,351
1872,341,341
1873,342,342
1874,350,350
1875,334,334
1876,354,354
1877,338,338
1878,353,353
1879,334,334
1880,352,352
1881,352,352
1882,353,353
1883,352,352
1884,355,355
1885,347,347
1886,344,344
1887,351,351
1888,344,344
1889,349,349
1890,344,344
1891,348,348
1892,341,341
1893,338,338
1894,340,340
1895,339,339
1896,340,340
1897,344,344
1898,347,347
1899,338,338
1900,344,344
1901,348,348
1902,342,342
1903,345,345
1904,342,342
1905,340,340
1906,345,345
1907,348,348
1908,352,352
1909,342,342
1910,339,339
1911,360,360
1912,357,357
1913,342,342
1914,353,353
1915,337,337
1916,350,350
1917,335,335
1918,352,352
1919,331,331
1920,344,344
1921,319,319
1922,355,355
1923,336,336
1924,333,333
1925,343,343
1926,335,335
1927,336,336
1928,349,349
1929,335,335
1930,344,344
1931,351,351
1932,349,349
1933,348,348
1934,342,342
1935,338,338
1936,351,351
1937,348,348
1938,341,341
1939,358,358
1940,336,336
1941,343,343
1942,353,353
1943,342,342
1944,339,339
1945,335,335
1946,335,335
1947,348,348
1948,345,345
1949,345,345
1950,351,351
1951,345,345
1952,335,335
1953,340,340
1954,359,359
1955,346,346
1956,361,361
1957,346,346
1958,359,359
1959,357,357
1960,346,346
1961,350,350
1962,340,340
1963,367,367
1964,346,346
1965,342,342
1966,351,351
1967,349,349
1968,347,347
1969,339,339
1970,350,350
1971,344,344
1972,347,347
1973,344,344
1974,343,343
1975,344,344
1976,337,337
1977,347,347
1978,349,349
1979,353,353
1980,339,339
1981,367,367
1982,348,348
1983,349,349
1984,357,357
1985,355,355
1986,348,348
1987,347,347
1988,349,349
1989,358,358
1990,351,351
1991,346,346
1992,355,355
1993,356,356
1994,350,350
1995,355,355
1996,352,352
1997,357,357
1998,345,345
1999,354,354
2000,356,356
2001,336,336
2002,350,350
2003,358,358
2004,350,350
2005,351,351
2006,350,350
2007,354,354
2008,357,357
2009,358,358
2010,347,347
2011,352,352
2012,350,350
2013,361,361
2014,355,355
2015,342,342
2016,344,344
2017,349,349
2018,361,361
2019,351,351
2020,363,363
2021,354,354
2022,349,349
2023,351,351
2024,354,354
2025,361,361
2026,357,357
2027,355,355
2028,352,352
2029,348,348
2030,358,358
2031,353,353
2032,349,349
2033,348,348
2034,347,347
2035,353,353
2036,349,349
2037,342,342
2038,338,338
2039,341,341
2040,338,338
2041,358,358
2042,361,361
2043,341,341
2044,363,363
2045,352,352
2046,349,349
2047,337,337
2048,334,334
2049,338,338
2050,333,333
2051,343,343
2052,341,341
2053,330,330
2054,326,326
2055,335,335
2056,335,335
2057,347,347
2058,337,337
2059,347,347
2060,344,344
2061,335,335
2062,343,343
2063,342,342
2064,347,347
2065,340,340
2066,348,348
2067,339,339
2068,336,336
2069,347,347
2070,350,350
2071,338,338
2072,334,334
2073,341,341
2074,346,346
2075,358,358
2076,325,325
2077,350,350
2078,342,342
2079,351,351
2080,342,342
2081,345,345
2082,340,340
2083,347,347
2084,348,348
2085,343,343
2086,356,356
2087,341,341
2088,353,353
2089,338,338
2090,346,346
2091,350,350
2092,344,344
2093,350,350
2094,352,352
2095,343,343
2096,354,354
2097,349,349
2098,347,347
2099,348,348
2100,342,342
2101,358,358
2102,360,360
2103,348,348
2104,354,354
2105,339,339
2106,347,347
2107,344,344
2108,340,340
2109,346,346
2110,348,348
2111,345,345
2112,336,336
2113,351,351
2114,348,348
2115,351,351
2116,339,339
2117,351,351
2118,354,354
2119,343,343
2120,336,336
2121,343,343
